Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,SplFit,Poly5,TightSpl
636.57098,170.01833,0.009390700000000002,0.005139142,0.010344034,0.004185809,613.8369799999998,6.82e-06,0.004224511271881293,8.39e-06,0.0042204994425320734,0.004187726314001071,0.004185058328112847
636.63098,170.04,0.0093917,0.005139729,0.010345109,0.00418632,613.89698,6.82e-06,0.00422502142670318,8.39e-06,0.004221017861593652,0.004188237060542715,0.004185570887321256
636.69299,170.06167,0.0093925,0.005140335,0.010346219,0.004186616,613.9589900000002,6.82e-06,0.00422554868949359,8.39e-06,0.004221553667581276,0.004188764957712442,0.004186100253628599
636.75403,170.08333000000005,0.009393299999999999,0.005140932,0.010347313,0.004186919,614.02003,6.82e-06,0.004226067722157841,8.39e-06,0.004222081111892059,0.0041892846375070295,0.004186620970203267
636.81403,170.105,0.0093945,0.005141519000000001,0.010348388,0.004187631,614.08003,6.82e-06,0.004226577928612011,8.39e-06,0.004222599588690763,0.004189795501992648,0.004187132450188095
636.87402,170.12667,0.009395200000000001,0.005142105,0.010349463,0.004187843,614.14002,6.82e-06,0.0042270880669552004,8.39e-06,0.004223117997995365,0.004190306319993578,0.004187643475903495
636.935,170.14833000000004,0.0093962,0.005142702,0.010350555,0.004188346,614.201,6.82e-06,0.0042276066413292545,8.39e-06,0.00422364498186651,0.004190825607519646,0.004188162548956535
637.0,170.17,0.0093971,0.005143337,0.01035172,0.004188717,614.266,6.82e-06,0.00422815942106961,8.39e-06,0.004224206727749142,0.004191379172158821,0.00418871540360028
637.05701,170.19167,0.0093982,0.005143895,0.010352741,0.004189353,614.32301,6.82e-06,0.004228644267782291,8.39e-06,0.004224699440378668,0.004191864728300487,0.004189199920659252
637.11603,170.21333,0.009398899999999998,0.005144472,0.010353799,0.004189573,614.38203,6.82e-06,0.004229146224829486,8.39e-06,0.004225209542559261,0.004192367440478684,0.004189701139941873
637.1799900000002,170.235,0.0093999,0.005145097,0.010354944,0.004190053,614.44599,6.82e-06,0.00422969021440571,8.39e-06,0.0042257623611860196,0.004192912272158214,0.0041902438663001
637.23901,170.25666999999999,0.009400799999999999,0.005145674,0.010356002,0.004190473,614.50501,6.82e-06,0.004230192205602664,8.39e-06,0.004226272501510907,0.004193415062352636,0.004190744256220877
637.302,170.27833,0.009401399999999999,0.00514629,0.01035713,0.00419056,614.568,6.82e-06,0.004230727981487723,8.39e-06,0.004226816976788217,0.004193951714208525,0.004191277853490379
637.36298,170.3,0.0094026,0.005146887,0.010358223,0.004191264,614.62898,6.82e-06,0.004231246678645832,8.39e-06,0.004227344097815664,0.004194471282236908,0.004191793971504374
637.42401,170.32166999999995,0.0094032,0.005147483,0.010359316,0.0041913670000000005,614.6900099999998,6.82e-06,0.004231765818628865,8.39e-06,0.004227871670614414,0.0041949913163158966,0.004192310059165836
637.48602,170.34333,0.0094042,0.00514809,0.010360427,0.004191863,614.75202,6.82e-06,0.004232293312751391,8.39e-06,0.004228407735050787,0.004195519741960667,0.004192833961064045
637.547,170.365,0.009404899999999999,0.0051486859999999995,0.010361519,0.004192067,614.813,6.82e-06,0.004232812062732346,8.39e-06,0.004228934915039175,0.004196039430670786,0.004193348687866468
637.6060200000003,170.38667,0.0094061,0.005149263,0.010362577,0.004192787,614.87202,6.82e-06,0.004233314155887451,8.39e-06,0.004229445169178838,0.0041965424538025495,0.004193846416297467
637.66998,170.40833,0.009406900000000001,0.005149889,0.010363723,0.004193066,614.93598,6.82e-06,0.004233858292980151,8.39e-06,0.00422999815247662,0.004197087622503542,0.0041943852919229955
637.72998,170.43,0.009407899999999999,0.005150476,0.010364797,0.004193578,614.99598,6.82e-06,0.004234368758047369,8.39e-06,0.004230516918070804,0.004197599077808205,0.00419489031082564
637.7880200000002,170.45167,0.0094088,0.005151043,0.010365837,0.004194006,615.05402,6.82e-06,0.004234862564056098,8.39e-06,0.004231018755317006,0.004198093862434637,0.004195378371078023
637.85199,170.47333,0.0094098,0.005151669,0.010366983,0.004194486,615.1179900000002,6.82e-06,0.004235406841059524,8.39e-06,0.00423157188623411,0.004198639241659179,0.004195915762969945
637.90802,170.495,0.0094125,0.005152217,0.010367987,0.00419673,615.17402,6.82e-06,0.004235883577867335,8.39e-06,0.004232056379823329,0.00419911696422715,0.004196385986456778
637.96698,170.51667,0.0094135,0.005152793,0.010369043,0.00419725,615.23298,6.82e-06,0.004236385260841648,8.39e-06,0.004232566227041933,0.004199619705030487,0.0041968803215705315
638.026,170.53833,0.009414299999999999,0.0051533709999999995,0.010370101,0.00419757,615.2919999999998,6.82e-06,0.004236887470752966,8.39e-06,0.004233076611387244,0.00420012299492491,0.004197374661753188
638.0880099999998,170.56,0.0094152,0.005153977,0.010371211,0.004197966,615.35401,6.82e-06,0.004237415140699999,8.39e-06,0.004233612871916708,0.004200651822288529,0.004197893500952467
638.146,170.58167,0.009416299999999999,0.0051545440000000005,0.01037225,0.004198594,615.4119999999998,6.82e-06,0.004237908619123969,8.39e-06,0.004234114385885849,0.004201146404165256,0.004198378195201171
638.2069700000002,170.60333,0.0094176,0.005155140999999999,0.010373343,0.004199398,615.47297,6.82e-06,0.004238427473594405,8.39e-06,0.004234641690785223,0.00420166644075575,0.004198887273706344
638.2689799999997,170.625,0.0094181,0.0051557470000000005,0.010374453,0.004199394,615.53498,6.82e-06,0.004238955196435064,8.39e-06,0.004235178010247974,0.004202195388975736,0.004199404497297724
638.33398,170.64667,0.0094191,0.005156383,0.010375618,0.004199865,615.59998,6.82e-06,0.004239508384491584,8.39e-06,0.0042357402116541916,0.004202749886502191,0.004199946090468774
